  COBI#       atomMU       atomNU     distance     translation      ICOBI (at) eF   for spin  1
      1          Sc2          Sc1      2.95317       0   0  -1            0.09225 
      2          Sc2          Sc1      2.95326       1   0  -1            0.09226 
      3          Sc2          Sc1      2.95317       0   0   0            0.09231 
      4          Sc2          Sc1      2.95326       1   0   0            0.09229 
      5           H3          Sc1      2.88838       0   0  -1            0.00346 
      6           H3          Sc1      2.03243       0   0   0            0.10278 
      7           H4          Sc1      1.84438       0   0   0            0.20368 
      8           H5          Sc1      2.88839       0   0  -1            0.00346 
      9           H5          Sc1      2.03239       0   0   0            0.10278 
     10           H6          Sc1      1.82657       0  -1   0            0.16868 
     11           H6          Sc1      1.84656       1   0   0            0.15377 
     12           H7          Sc1      1.82688       0   0   0            0.19512 
     13           H7          Sc1      1.82686       1   0   0            0.19520 
     14           H8          Sc1      1.82656       0  -1   0            0.16861 
     15           H8          Sc1      1.84656       0   0   0            0.15381 
     16           H9          Sc1      1.82657       0  -1   0            0.16859 
     17           H9          Sc1      1.84656       1   0   0            0.15372 
     18          H10          Sc1      1.82656       0  -1   0            0.16869 
     19          H10          Sc1      1.84657       0   0   0            0.15377 
     20          H11          Sc1      1.82688       0   0   0            0.19525 
     21          H11          Sc1      1.82686       1   0   0            0.19506 
     22          H12          Sc1      2.03243       0   0  -1            0.10275 
     23          H12          Sc1      2.88839       0   0   0            0.00346 
     24          H13          Sc1      2.03239       0   0  -1            0.10274 
     25          H13          Sc1      2.88839       0   0   0            0.00346 
     26          H14          Sc1      1.84438       0   0  -1            0.20366 
     27           H3          Sc2      1.84656      -1   0   0            0.15386 
     28           H3          Sc2      1.82657       0   1   0            0.16972 
     29           H4          Sc2      1.82686      -1   0   0            0.19573 
     30           H4          Sc2      1.82688       0   0   0            0.19588 
     31           H5          Sc2      1.84656       0   0   0            0.15391 
     32           H5          Sc2      1.82656       0   1   0            0.16982 
     33           H6          Sc2      2.88838       0   0   0            0.00352 
     34           H6          Sc2      2.03243       0   0   1            0.10195 
     35           H7          Sc2      1.84438       0   0   1            0.20315 
     36           H8          Sc2      2.88839       0   0   0            0.00351 
     37           H8          Sc2      2.03239       0   0   1            0.10197 
     38           H9          Sc2      2.03243       0   0   0            0.10199 
     39           H9          Sc2      2.88839       0   0   1            0.00351 
     40          H10          Sc2      2.03239       0   0   0            0.10197 
     41          H10          Sc2      2.88840       0   0   1            0.00352 
     42          H11          Sc2      1.84438       0   0   0            0.20316 
     43          H12          Sc2      1.84656      -1   0   0            0.15393 
     44          H12          Sc2      1.82657       0   1   0            0.16984 
     45          H13          Sc2      1.84657       0   0   0            0.15395 
     46          H13          Sc2      1.82656       0   1   0            0.16978 
     47          H14          Sc2      1.82686      -1   0   0            0.19581 
     48          H14          Sc2      1.82688       0   0   0            0.19579 
     49           H4           H3      2.98389      -1  -1   0            0.00004 
     50           H4           H3      1.76924       0  -1   0            0.00383 
     51           H4           H3      1.79395       0   0   0            0.00840 
     52           H5           H3      1.68631       0   0   0            0.01228 
     53           H5           H3      1.73747       1   0   0            0.00208 
     54           H6           H3      2.93546       0  -1   0            0.00156 
     55           H6           H3      2.96512       1  -1   0            0.00015 
     56           H6           H3      2.93545       0  -1   1            0.00152 
     57           H6           H3      2.96511       1  -1   1            0.00013 
     58           H7           H3      2.60421       1   0   0            0.00513 
     59           H7           H3      2.31085       1   0   1            0.01056 
     60           H8           H3      2.40275       0  -1   0            0.00888 
     61           H8           H3      2.40271       0  -1   1            0.00872 
     62           H9           H3      2.30382       0  -1   0            0.00094 
     63           H9           H3      2.34149       1  -1   0            0.00261 
     64           H9           H3      2.52179       1   0   0            0.00007 
     65          H10           H3      1.56963       0  -1   0            0.03165 
     66          H11           H3      2.86207       0  -1   0            0.00012 
     67          H11           H3      2.84844       0   0   0            0.00064 
     68          H11           H3      1.52962       1   0   0            0.03620 
     69          H12           H3      0.95009       0   0   0            0.32879 
     70          H13           H3      1.93555       0   0   0            0.00864 
     71          H13           H3      1.98028       1   0   0            0.00060 
     72          H14           H3      2.08372       0  -1   0            0.00081 
     73          H14           H3      2.10475       0   0   0            0.00638 
     74           H5           H4      1.79403       0   0   0            0.00842 
     75           H5           H4      2.98391       0   1   0            0.00004 
     76           H5           H4      1.76918       1   1   0            0.00382 
     77           H6           H4      2.31085       1   0   0            0.01088 
     78           H6           H4      2.60421       1   0   1            0.00495 
     79           H7           H4      2.96389       0   0   0            0.00039 
     80           H7           H4      2.96378       1   0   0            0.00039 
     81           H7           H4      2.96389       0   0   1            0.00045 
     82           H7           H4      2.96378       1   0   1            0.00045 
     83           H8           H4      2.31092       0   0   0            0.01084 
     84           H8           H4      2.60423       0   0   1            0.00495 
     85           H9           H4      2.86207       0  -1   0            0.00012 
     86           H9           H4      2.84844       0   0   0            0.00064 
     87           H9           H4      1.52962       1   0   0            0.03607 
     88          H10           H4      2.86199       0  -1   0            0.00011 
     89          H10           H4      1.52967       0   0   0            0.03603 
     90          H10           H4      2.84835       1   0   0            0.00064 
     91          H11           H4      2.18111       0   0   0            0.00140 
     92          H11           H4      2.18096       1   0   0            0.00140 
