  COHP#       atomMU       atomNU     distance     translation      ICOHP (at) eF   for spin  1
      1          Sc2          Sc1      2.95317       0   0  -1           -0.39657 
      2          Sc2          Sc1      2.95326       1   0  -1           -0.39528 
      3          Sc2          Sc1      2.95317       0   0   0           -0.39610 
      4          Sc2          Sc1      2.95326       1   0   0           -0.39605 
      5           H3          Sc1      2.88838       0   0  -1           -0.01184 
      6           H3          Sc1      2.03243       0   0   0           -0.79468 
      7           H4          Sc1      1.84438       0   0   0           -1.38704 
      8           H5          Sc1      2.88839       0   0  -1           -0.01166 
      9           H5          Sc1      2.03239       0   0   0           -0.79662 
     10           H6          Sc1      1.82657       0  -1   0           -1.28229 
     11           H6          Sc1      1.84656       1   0   0           -1.20133 
     12           H7          Sc1      1.82688       0   0   0           -1.42171 
     13           H7          Sc1      1.82686       1   0   0           -1.42228 
     14           H8          Sc1      1.82656       0  -1   0           -1.28253 
     15           H8          Sc1      1.84656       0   0   0           -1.20062 
     16           H9          Sc1      1.82657       0  -1   0           -1.28334 
     17           H9          Sc1      1.84656       1   0   0           -1.20099 
     18          H10          Sc1      1.82656       0  -1   0           -1.28309 
     19          H10          Sc1      1.84657       0   0   0           -1.20215 
     20          H11          Sc1      1.82688       0   0   0           -1.42291 
     21          H11          Sc1      1.82686       1   0   0           -1.42161 
     22          H12          Sc1      2.03243       0   0  -1           -0.79681 
     23          H12          Sc1      2.88839       0   0   0           -0.01165 
     24          H13          Sc1      2.03239       0   0  -1           -0.79478 
     25          H13          Sc1      2.88839       0   0   0           -0.01185 
     26          H14          Sc1      1.84438       0   0  -1           -1.38686 
     27           H3          Sc2      1.84656      -1   0   0           -1.20025 
     28           H3          Sc2      1.82657       0   1   0           -1.28681 
     29           H4          Sc2      1.82686      -1   0   0           -1.42439 
     30           H4          Sc2      1.82688       0   0   0           -1.42550 
     31           H5          Sc2      1.84656       0   0   0           -1.20253 
     32           H5          Sc2      1.82656       0   1   0           -1.28741 
     33           H6          Sc2      2.88838       0   0   0           -0.01199 
     34           H6          Sc2      2.03243       0   0   1           -0.79245 
     35           H7          Sc2      1.84438       0   0   1           -1.38443 
     36           H8          Sc2      2.88839       0   0   0           -0.01195 
     37           H8          Sc2      2.03239       0   0   1           -0.79110 
     38           H9          Sc2      2.03243       0   0   0           -0.79130 
     39           H9          Sc2      2.88839       0   0   1           -0.01192 
     40          H10          Sc2      2.03239       0   0   0           -0.79265 
     41          H10          Sc2      2.88840       0   0   1           -0.01201 
     42          H11          Sc2      1.84438       0   0   0           -1.38482 
     43          H12          Sc2      1.84656      -1   0   0           -1.20330 
     44          H12          Sc2      1.82657       0   1   0           -1.28873 
     45          H13          Sc2      1.84657       0   0   0           -1.20141 
     46          H13          Sc2      1.82656       0   1   0           -1.28818 
     47          H14          Sc2      1.82686      -1   0   0           -1.42526 
     48          H14          Sc2      1.82688       0   0   0           -1.42534 
     49           H4           H3      2.98389      -1  -1   0           -0.00054 
     50           H4           H3      1.76924       0  -1   0           -0.05858 
     51           H4           H3      1.79395       0   0   0           -0.09135 
     52           H5           H3      1.68631       0   0   0           -0.14783 
     53           H5           H3      1.73747       1   0   0           -0.04398 
     54           H6           H3      2.93546       0  -1   0            0.00123 
     55           H6           H3      2.96512       1  -1   0           -0.00227 
     56           H6           H3      2.93545       0  -1   1            0.00121 
     57           H6           H3      2.96511       1  -1   1           -0.00210 
     58           H7           H3      2.60421       1   0   0           -0.02387 
     59           H7           H3      2.31085       1   0   1           -0.04375 
     60           H8           H3      2.40275       0  -1   0           -0.04841 
     61           H8           H3      2.40271       0  -1   1           -0.04782 
     62           H9           H3      2.30382       0  -1   0           -0.00108 
     63           H9           H3      2.34149       1  -1   0           -0.00774 
     64           H9           H3      2.52179       1   0   0            0.00039 
     65          H10           H3      1.56963       0  -1   0           -0.34238 
     66          H11           H3      2.86207       0  -1   0           -0.00095 
     67          H11           H3      2.84844       0   0   0           -0.00336 
     68          H11           H3      1.52962       1   0   0           -0.37787 
     69          H12           H3      0.95009       0   0   0           -3.08066 
     70          H13           H3      1.93555       0   0   0           -0.00571 
     71          H13           H3      1.98028       1   0   0            0.00397 
     72          H14           H3      2.08372       0  -1   0            0.00414 
     73          H14           H3      2.10475       0   0   0           -0.00674 
     74           H5           H4      1.79403       0   0   0           -0.09148 
     75           H5           H4      2.98391       0   1   0           -0.00058 
     76           H5           H4      1.76918       1   1   0           -0.05827 
     77           H6           H4      2.31085       1   0   0           -0.04503 
     78           H6           H4      2.60421       1   0   1           -0.02358 
     79           H7           H4      2.96389       0   0   0            0.00006 
     80           H7           H4      2.96378       1   0   0            0.00007 
     81           H7           H4      2.96389       0   0   1            0.00006 
     82           H7           H4      2.96378       1   0   1            0.00008 
     83           H8           H4      2.31092       0   0   0           -0.04456 
     84           H8           H4      2.60423       0   0   1           -0.02333 
     85           H9           H4      2.86207       0  -1   0           -0.00100 
     86           H9           H4      2.84844       0   0   0           -0.00342 
     87           H9           H4      1.52962       1   0   0           -0.37690 
     88          H10           H4      2.86199       0  -1   0           -0.00092 
     89          H10           H4      1.52967       0   0   0           -0.37622 
     90          H10           H4      2.84835       1   0   0           -0.00342 
     91          H11           H4      2.18111       0   0   0           -0.01148 
     92          H11           H4      2.18096       1   0   0           -0.01145 
     93          H11           H4      2.33608       1   1   0           -0.02025 
     94          H12           H4      2.10475       0   0   0           -0.00661 
     95          H12           H4      2.08372       0   1   0            0.00405 
     96          H13           H4      2.10482       0   0   0           -0.00679 
