  COOP#       atomMU       atomNU     distance     translation      ICOOP (at) eF   for spin  1
      1          Sc2          Sc1      2.95317       0   0  -1            0.02059 
      2          Sc2          Sc1      2.95326       1   0  -1            0.02051 
      3          Sc2          Sc1      2.95317       0   0   0            0.02061 
      4          Sc2          Sc1      2.95326       1   0   0            0.02054 
      5           H3          Sc1      2.88838       0   0  -1           -0.03628 
      6           H3          Sc1      2.03243       0   0   0            0.04421 
      7           H4          Sc1      1.84438       0   0   0            0.09920 
      8           H5          Sc1      2.88839       0   0  -1           -0.03620 
      9           H5          Sc1      2.03239       0   0   0            0.04406 
     10           H6          Sc1      1.82657       0  -1   0            0.06737 
     11           H6          Sc1      1.84656       1   0   0            0.05414 
     12           H7          Sc1      1.82688       0   0   0            0.08234 
     13           H7          Sc1      1.82686       1   0   0            0.08217 
     14           H8          Sc1      1.82656       0  -1   0            0.06723 
     15           H8          Sc1      1.84656       0   0   0            0.05422 
     16           H9          Sc1      1.82657       0  -1   0            0.06719 
     17           H9          Sc1      1.84656       1   0   0            0.05401 
     18          H10          Sc1      1.82656       0  -1   0            0.06733 
     19          H10          Sc1      1.84657       0   0   0            0.05430 
     20          H11          Sc1      1.82688       0   0   0            0.08238 
     21          H11          Sc1      1.82686       1   0   0            0.08211 
     22          H12          Sc1      2.03243       0   0  -1            0.04420 
     23          H12          Sc1      2.88839       0   0   0           -0.03623 
     24          H13          Sc1      2.03239       0   0  -1            0.04402 
     25          H13          Sc1      2.88839       0   0   0           -0.03620 
     26          H14          Sc1      1.84438       0   0  -1            0.09922 
     27           H3          Sc2      1.84656      -1   0   0            0.05404 
     28           H3          Sc2      1.82657       0   1   0            0.06780 
     29           H4          Sc2      1.82686      -1   0   0            0.08257 
     30           H4          Sc2      1.82688       0   0   0            0.08291 
     31           H5          Sc2      1.84656       0   0   0            0.05428 
     32           H5          Sc2      1.82656       0   1   0            0.06795 
     33           H6          Sc2      2.88838       0   0   0           -0.03626 
     34           H6          Sc2      2.03243       0   0   1            0.04363 
     35           H7          Sc2      1.84438       0   0   1            0.09936 
     36           H8          Sc2      2.88839       0   0   0           -0.03621 
     37           H8          Sc2      2.03239       0   0   1            0.04348 
     38           H9          Sc2      2.03243       0   0   0            0.04367 
     39           H9          Sc2      2.88839       0   0   1           -0.03627 
     40          H10          Sc2      2.03239       0   0   0            0.04350 
     41          H10          Sc2      2.88840       0   0   1           -0.03623 
     42          H11          Sc2      1.84438       0   0   0            0.09933 
     43          H12          Sc2      1.84656      -1   0   0            0.05414 
     44          H12          Sc2      1.82657       0   1   0            0.06800 
     45          H13          Sc2      1.84657       0   0   0            0.05423 
     46          H13          Sc2      1.82656       0   1   0            0.06787 
     47          H14          Sc2      1.82686      -1   0   0            0.08261 
     48          H14          Sc2      1.82688       0   0   0            0.08289 
     49           H4           H3      2.98389      -1  -1   0            0.00047 
     50           H4           H3      1.76924       0  -1   0           -0.02082 
     51           H4           H3      1.79395       0   0   0           -0.01059 
     52           H5           H3      1.68631       0   0   0            0.00673 
     53           H5           H3      1.73747       1   0   0           -0.02969 
     54           H6           H3      2.93546       0  -1   0           -0.00335 
     55           H6           H3      2.96512       1  -1   0            0.00489 
     56           H6           H3      2.93545       0  -1   1           -0.00319 
     57           H6           H3      2.96511       1  -1   1            0.00505 
     58           H7           H3      2.60421       1   0   0           -0.01446 
     59           H7           H3      2.31085       1   0   1           -0.03578 
     60           H8           H3      2.40275       0  -1   0           -0.03054 
     61           H8           H3      2.40271       0  -1   1           -0.02998 
     62           H9           H3      2.30382       0  -1   0            0.00010 
     63           H9           H3      2.34149       1  -1   0           -0.01287 
     64           H9           H3      2.52179       1   0   0           -0.00155 
     65          H10           H3      1.56963       0  -1   0            0.01407 
     66          H11           H3      2.86207       0  -1   0           -0.00052 
     67          H11           H3      2.84844       0   0   0           -0.00269 
     68          H11           H3      1.52962       1   0   0            0.00046 
     69          H12           H3      0.95009       0   0   0            0.19645 
     70          H13           H3      1.93555       0   0   0           -0.07999 
     71          H13           H3      1.98028       1   0   0           -0.02466 
     72          H14           H3      2.08372       0  -1   0           -0.02153 
     73          H14           H3      2.10475       0   0   0           -0.04276 
     74           H5           H4      1.79403       0   0   0           -0.01052 
     75           H5           H4      2.98391       0   1   0            0.00045 
     76           H5           H4      1.76918       1   1   0           -0.02092 
     77           H6           H4      2.31085       1   0   0           -0.03669 
     78           H6           H4      2.60421       1   0   1           -0.01392 
     79           H7           H4      2.96389       0   0   0            0.00063 
     80           H7           H4      2.96378       1   0   0            0.00065 
     81           H7           H4      2.96389       0   0   1            0.00034 
     82           H7           H4      2.96378       1   0   1            0.00031 
     83           H8           H4      2.31092       0   0   0           -0.03658 
     84           H8           H4      2.60423       0   0   1           -0.01393 
     85           H9           H4      2.86207       0  -1   0           -0.00050 
     86           H9           H4      2.84844       0   0   0           -0.00270 
     87           H9           H4      1.52962       1   0   0            0.00007 
     88          H10           H4      2.86199       0  -1   0           -0.00044 
     89          H10           H4      1.52967       0   0   0           -0.00012 
     90          H10           H4      2.84835       1   0   0           -0.00269 
     91          H11           H4      2.18111       0   0   0           -0.01033 
     92          H11           H4      2.18096       1   0   0           -0.01040 
     93          H11           H4      2.33608       1   1   0           -0.01642 
     94          H12           H4      2.10475       0   0   0           -0.04270 
     95          H12           H4      2.08372       0   1   0           -0.02154 
     96          H13           H4      2.10482       0   0   0           -0.04276 
     97          H13           H4      2.08369       1   1   0           -0.02155 
     98          H14           H4      1.27534       0   0   0            0.02553 
     99           H6           H5      2.40271       0  -1   0           -0.03049 
    100           H6           H5      2.40275       0  -1   1           -0.02993 
    101           H7           H5      2.60423       0   0   0           -0.01446 
